Region/Country/Area,,Year,Series,Value,Footnotes,Source,,,,
51,Armenia,2015,Gross domestic expenditure on R & D: Government (%),73.8,Excluding private non-profit.,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,
51,Armenia,2015,Gross domestic expenditure on R & D: Funds from abroad (%),2.3,Excluding private non-profit.,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,
51,Armenia,2015,Gross domestic expenditure on R & D: Not distributed (%),23.9,Excluding private non-profit.,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,
51,Armenia,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.2,Excluding private non-profit.,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,
51,Armenia,2018,Gross domestic expenditure on R & D: Business enterprises (%),16.7,Excluding private non-profit.,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,
51,Armenia,2018,Gross domestic expenditure on R & D: Government (%),68.7,Break in the time series.,Excluding private non-profit.,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,
51,Armenia,2018,Gross domestic expenditure on R & D: Funds from abroad (%),5.6,Excluding private non-profit.,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,
51,Armenia,2018,Gross domestic expenditure on R & D: Not distributed (%),9.1,Estimate.,Excluding private non-profit.,Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,
36,Australia,2004,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
36,Australia,2004,Gross domestic expenditure on R & D: Business enterprises (%),54.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
36,Australia,2004,Gross domestic expenditure on R & D: Government (%),40.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
36,Australia,2004,Gross domestic expenditure on R & D: Higher education (%),0.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
36,Australia,2004,Gross domestic expenditure on R & D: Private non-profit (%),1.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
36,Australia,2004,Gross domestic expenditure on R & D: Funds from abroad (%),2.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
36,Australia,2008,Gross domestic expenditure on R & D: as a percentage of GDP (%),2.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
36,Australia,2008,Gross domestic expenditure on R & D: Business enterprises (%),61.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
36,Australia,2008,Gross domestic expenditure on R & D: Government (%),34.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
36,Australia,2008,Gross domestic expenditure on R & D: Higher education (%),0.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020.",,,,
