Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source,,
18,Southern Africa,2018,Imports CIF (millions of US dollars),,,110384,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,2019,Imports CIF (millions of US dollars),,,106084,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,2020,Imports CIF (millions of US dollars),,,85846,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,1995,Exports FOB (millions of US dollars),,,28214,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,2005,Exports FOB (millions of US dollars),,,56076,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,2010,Exports FOB (millions of US dollars),,,95232,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,2015,Exports FOB (millions of US dollars),,,93647,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,2018,Exports FOB (millions of US dollars),,,110290,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,2019,Exports FOB (millions of US dollars),,,104469,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,2020,Exports FOB (millions of US dollars),,,99581,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,1995,Balance imports/exports (millions of US dollars),,,1470,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,2005,Balance imports/exports (millions of US dollars),,,-7711,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,2010,Balance imports/exports (millions of US dollars),,,-2491,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,2015,Balance imports/exports (millions of US dollars),,,-10527,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,2018,Balance imports/exports (millions of US dollars),,,-94,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,2019,Balance imports/exports (millions of US dollars),,,-1615,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
18,Southern Africa,2020,Balance imports/exports (millions of US dollars),,,13735,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
11,Western Africa,1995,Imports CIF (millions of US dollars),,,19153,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
11,Western Africa,2005,Imports CIF (millions of US dollars),,,44948,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
11,Western Africa,2010,Imports CIF (millions of US dollars),,,83254,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
11,Western Africa,2015,Imports CIF (millions of US dollars),,,87237,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
11,Western Africa,2018,Imports CIF (millions of US dollars),,,101351,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
11,Western Africa,2019,Imports CIF (millions of US dollars),,,106142,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
11,Western Africa,2020,Imports CIF (millions of US dollars),,,166451,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
11,Western Africa,1995,Exports FOB (millions of US dollars),,,21750,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021.",,
