Region/Country/Area,,Year,Series,National currency,National currency footnote,Value,Footnotes,Source
24,Angola,2015,Exchange rates: period average (national currency per US dollar),,,120.1,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
24,Angola,2017,Exchange rates: period average (national currency per US dollar),,,165.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
24,Angola,2018,Exchange rates: period average (national currency per US dollar),,,252.9,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
24,Angola,2019,Exchange rates: period average (national currency per US dollar),,,364.8,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
24,Angola,2020,Exchange rates: period average (national currency per US dollar),,,578.3,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
660,Anguilla,1995,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
660,Anguilla,2005,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
660,Anguilla,2010,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
660,Anguilla,2015,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
660,Anguilla,2017,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
660,Anguilla,2018,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
660,Anguilla,2019,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
660,Anguilla,2020,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
660,Anguilla,1995,Exchange rates: period average (national currency per US dollar),,,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
660,Anguilla,2005,Exchange rates: period average (national currency per US dollar),,,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
660,Anguilla,2010,Exchange rates: period average (national currency per US dollar),,,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
660,Anguilla,2015,Exchange rates: period average (national currency per US dollar),,,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
660,Anguilla,2017,Exchange rates: period average (national currency per US dollar),,,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
660,Anguilla,2018,Exchange rates: period average (national currency per US dollar),,,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
660,Anguilla,2019,Exchange rates: period average (national currency per US dollar),,,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
660,Anguilla,2020,Exchange rates: period average (national currency per US dollar),,,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
28,Antigua and Barbuda,1995,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
28,Antigua and Barbuda,2005,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
28,Antigua and Barbuda,2010,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
28,Antigua and Barbuda,2015,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
28,Antigua and Barbuda,2017,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
28,Antigua and Barbuda,2018,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
28,Antigua and Barbuda,2019,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
28,Antigua and Barbuda,2020,Exchange rates: end of period (national currency per US dollar),E. Caribbean Dollar (XCD),East Caribbean Dollar.,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
28,Antigua and Barbuda,1995,Exchange rates: period average (national currency per US dollar),,,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
28,Antigua and Barbuda,2005,Exchange rates: period average (national currency per US dollar),,,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
28,Antigua and Barbuda,2010,Exchange rates: period average (national currency per US dollar),,,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
28,Antigua and Barbuda,2015,Exchange rates: period average (national currency per US dollar),,,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
28,Antigua and Barbuda,2017,Exchange rates: period average (national currency per US dollar),,,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
28,Antigua and Barbuda,2018,Exchange rates: period average (national currency per US dollar),,,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
28,Antigua and Barbuda,2019,Exchange rates: period average (national currency per US dollar),,,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
28,Antigua and Barbuda,2020,Exchange rates: period average (national currency per US dollar),,,2.7,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
32,Argentina,1995,Exchange rates: end of period (national currency per US dollar),Argentine Peso (ARS),,1,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
32,Argentina,2005,Exchange rates: end of period (national currency per US dollar),Argentine Peso (ARS),,3,,"International Monetary Fund (IMF), Washington, D.C., the database on International Financial Statistics supplemented by operational rates of exchange for United Nations programmes, last accessed July 2021."
